TICKS=4000, sample every 100, N0=500, patchy, use_sim_core=False

=== OFF 对称 (radius=8) (seed=42) ===
   tick     N  meanRow  polar%       E   stom
    100   192    28.29   13.0%   77.41   8.82
    200   138    29.25    9.4%  110.43  13.72
    300   125    29.58   10.4%  136.16  15.88
    400   121    29.79   10.7%  156.33  17.55
    500   117    29.90   10.3%  175.68  18.01
    600   116    29.97    9.5%  193.61  18.21
    700   123    29.49   10.6%  198.78  18.07
    800   122    28.91    8.2%  214.90  17.82
    900   124    29.82    8.1%  225.18  17.69
   1000   126    29.46   10.3%  235.01  17.92
   1100   136    29.61    8.1%  238.19  17.52
   1200   141    29.42    7.1%  244.25  16.37
   1300   145    28.66    9.0%  250.06  15.88
   1400   159    28.73    6.3%  244.91  14.96
   1500   167    28.32    5.4%  250.14  13.92
   1600   178    27.99    5.6%  251.30  12.91
   1700   205    27.03    4.4%  231.15  11.09
   1800   233    27.16    4.3%  219.61  10.24
   1900   274    27.26    3.3%  197.92   8.49
   2000   304    26.25    3.3%  185.18   7.38
   2100   344    25.97    3.2%  173.80   7.15
   2200   388    26.51    2.1%  160.37   6.28
   2300   446    26.46    2.2%  146.13   5.85
   2400   495    26.30    1.6%  140.17   5.58
   2500   560    25.74    1.6%  133.65   5.23
   2600   631    25.03    1.3%  128.09   4.73
   2700   707    24.86    1.0%  122.97   4.39
   2800   788    24.22    1.0%  116.07   4.10
   2900   851    23.65    1.1%  115.30   3.89
   3000   938    23.48    1.9%  113.61   3.83
   3100  1030    23.03    3.0%  111.18   3.69
   3200  1097    22.64    2.6%  111.39   3.50
   3300  1190    22.12    4.0%  109.45   3.56
   3400  1196    21.97    4.3%  113.46   3.71
   3500  1268    21.72    5.0%  112.49   3.74
   3600  1318    21.46    4.5%  112.78   3.28
   3700  1345    21.02    5.5%  115.84   3.31
   3800  1383    20.85    6.3%  117.66   3.08
   3900  1405    20.27    6.9%  121.80   3.11
   4000  1479    19.68    7.2%  122.08   2.96
  deaths total=3042 born=4019
    DeathCause.PREDATION: 2594
    DeathCause.STARVATION: 441
    DeathCause.OLD_AGE: 7

=== ON  现状 (radius=4, nb[:4]) (seed=42) ===
   tick     N  meanRow  polar%       E   stom
    100   169    23.30   19.5%   75.70   8.62
    200    86    22.66   18.6%  106.52  16.24
    300    57    20.35   19.3%  144.86  18.19
    400    41    19.44   26.8%  169.84  24.31
    500    34    19.97   20.6%  190.52  23.84
    600    31    18.84   29.0%  205.71  22.43
    700    26    19.31   30.8%  218.62  25.79
    800    23    21.39   26.1%  249.03  27.28
    900    20    22.25   15.0%  301.16  32.59
   1000    22    19.00   18.2%  289.64  27.51
   1100    18    19.28   16.7%  339.56  30.41
   1200    19    19.11   10.5%  321.56  27.42
   1300    19    19.16   15.8%  313.03  28.03
   1400    18    17.67   16.7%  329.65  31.17
   1500    18    16.17   16.7%  337.54  27.75
   1600    17    15.41   35.3%  346.47  26.70
   1700    15    14.20   40.0%  377.37  34.76
   1800    17    15.41   35.3%  330.63  31.28
   1900    15    16.00   26.7%  316.74  21.39
   2000    12    17.67   25.0%  335.01  30.22
   2100    11    17.55   27.3%  336.18  37.40
   2200    13    27.00    7.7%  289.51  30.72
   2300    13    26.38    7.7%  289.39  27.73
   2400    11    23.91    0.0%  320.98  26.90
   2500    12    22.25    0.0%  290.05  23.78
   2600    11    22.18    9.1%  290.72  22.09
   2700    14    19.57   50.0%  251.88  25.41
   2800    14    18.79   50.0%  268.31  26.54
   2900    14    15.36   64.3%  270.07  32.83
   3000    14    14.57   64.3%  282.47  25.82
   3100    12    16.67   58.3%  342.52  30.64
   3200    13    15.08   61.5%  335.99  24.47
   3300    13    14.77   61.5%  347.26  22.58
   3400    13    14.62   61.5%  369.17  25.82
   3500    12    12.67   66.7%  393.21  22.27
   3600    13    11.62   69.2%  376.11  24.86
   3700    12    12.67   66.7%  414.63  27.36
   3800    12    12.17   66.7%  428.46  27.73
   3900    12    15.08   58.3%  429.07  28.97
   4000    11    16.27   54.5%  492.41  34.06
  deaths total=570 born=81
    DeathCause.PREDATION: 473
    DeathCause.STARVATION: 97

=== FIXED 正交4邻 (radius=4, axis-first) (seed=42) ===
   tick     N  meanRow  polar%       E   stom
    100   217    28.34   12.0%   77.20   7.82
    200   145    29.01   10.3%  108.78  11.82
    300   123    28.19    8.1%  137.71  13.60
    400   114    29.03    7.0%  163.35  13.91
    500   111    28.84    7.2%  184.11  15.05
    600   109    28.78    6.4%  197.69  14.84
    700   107    27.92    5.6%  217.15  15.79
    800   103    28.08    4.9%  238.82  15.91
    900   100    28.52    5.0%  259.13  16.43
   1000   103    29.27    5.8%  265.41  16.11
   1100   105    30.10    4.8%  272.57  16.30
   1200   111    30.70    2.7%  268.94  15.13
   1300   115    31.06    2.6%  275.93  15.10
   1400   130    32.24    3.1%  254.79  13.61
   1500   139    32.72    2.9%  244.56  13.16
   1600   150    32.80    4.0%  233.99  11.55
   1700   166    33.00    4.2%  223.76   9.16
   1800   199    34.19    4.5%  202.55   8.07
   1900   222    34.13    2.7%  195.20   7.18
   2000   261    34.62    2.7%  182.07   6.15
   2100   284    35.11    2.1%  186.02   5.96
   2200   346    35.57    2.3%  170.66   5.06
   2300   403    35.88    2.5%  162.64   4.68
   2400   479    36.17    1.9%  151.41   4.47
   2500   554    36.06    1.4%  143.17   4.41
   2600   611    36.31    1.3%  144.20   4.60
   2700   703    36.17    0.9%  140.42   4.35
   2800   777    36.03    0.9%  138.40   4.43
   2900   841    35.86    1.0%  139.92   4.80
   3000   878    35.47    1.0%  143.84   5.20
   3100   949    35.54    1.2%  141.92   5.15
   3200   999    35.18    1.2%  144.51   5.17
   3300  1008    34.65    0.9%  150.04   5.72
   3400  1046    34.37    1.1%  151.88   6.19
   3500  1039    34.41    1.3%  160.93   7.03
   3600  1026    34.10    1.5%  165.61   7.61
   3700  1002    33.60    1.9%  170.38   8.07
   3800   975    33.13    1.3%  176.19   8.30
   3900   901    32.63    1.6%  188.77   9.19
   4000   855    32.21    2.0%  198.28  10.17
  deaths total=4305 born=4660
    DeathCause.PREDATION: 4100
    DeathCause.STARVATION: 203
    DeathCause.OLD_AGE: 2
