tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,3236,0.4494,3511,0.3524,0.3734,0.2046,0.6788,0.7510,0.181555,-0.5270,0.6107,3371,1199172.3,145.7,0.0038,11
4000,3240,0.4500,2802,0.5160,0.5557,0.1644,0.6277,0.7586,0.183426,-0.2291,0.2861,5311,1673067.7,119.9,0.0093,6
6000,3239,0.4499,2921,0.6595,0.5081,0.1991,0.5282,0.8620,0.130636,-0.0631,0.0980,5922,2171430.9,119.6,0.0139,7
8000,3238,0.4497,3224,0.6218,0.5419,0.2848,0.5616,0.7756,0.118430,-0.0443,0.0754,7317,2839954.2,119.9,0.0185,8
10000,3238,0.4497,3810,0.5163,0.6470,0.3820,0.5607,0.7088,0.088009,-0.0090,0.0274,9575,3759971.1,117.3,0.0237,9
12000,3239,0.4499,4066,0.5424,0.6453,0.3827,0.5257,0.8664,0.076960,-0.0015,0.0166,10283,4125639.0,117.5,0.0284,9
14000,3239,0.4499,3920,0.5206,0.7285,0.4597,0.5769,0.6101,0.058861,-0.0015,0.0196,10588,3795026.1,117.6,0.0331,10
16000,3237,0.4496,3999,0.5145,0.7517,0.4331,0.5665,0.7226,0.049383,-0.0006,0.0182,10650,4509491.3,118.7,0.0374,11
18000,3239,0.4499,3908,0.5099,0.7593,0.3987,0.5605,0.8796,0.043308,-0.0009,0.0222,10662,5102281.4,119.7,0.0418,12
20000,3237,0.4496,4001,0.5083,0.7653,0.3850,0.5572,0.8390,0.037953,-0.0003,0.0160,10666,5660134.9,120.6,0.0460,12
22000,3238,0.4497,3991,0.5121,0.7621,0.3624,0.5448,0.8401,0.033835,-0.0006,0.0117,10667,5933532.4,121.4,0.0503,13
24000,3239,0.4499,3924,0.5166,0.7589,0.3520,0.5369,0.8929,0.030833,0.0001,0.0100,10668,5667992.9,121.2,0.0550,14
26000,3239,0.4499,4076,0.5190,0.7567,0.3461,0.5318,0.8279,0.028869,-0.0009,0.0230,10670,5216101.3,121.2,0.0596,15
28000,3239,0.4499,4055,0.5214,0.7563,0.3396,0.5270,0.8626,0.026401,-0.0001,0.0189,10672,5838215.4,122.2,0.0637,16
30000,3239,0.4499,3957,0.5232,0.7543,0.3359,0.5233,0.8828,0.025095,-0.0007,0.0214,10674,6182731.2,122.7,0.0679,17
32000,3238,0.4497,3989,0.5261,0.7528,0.3307,0.5180,0.8591,0.022614,-0.0009,0.0171,10677,6431057.2,123.2,0.0722,17
34000,3239,0.4499,4009,0.5286,0.7513,0.3261,0.5144,0.8615,0.020046,-0.0005,0.0113,10677,6524176.2,123.5,0.0765,18
36000,3240,0.4500,3957,0.5326,0.7477,0.3179,0.5067,0.8899,0.018188,0.0001,0.0094,10683,6015368.6,123.3,0.0811,19
38000,3239,0.4499,4066,0.5364,0.7445,0.3126,0.5014,0.8395,0.017790,-0.0003,0.0237,10686,5417791.2,123.1,0.0857,20
