tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,1393,0.0174,0,0.5208,0.4294,0.3416,0.4996,0.8536,0.298012,-0.2379,0.3188,0,357920.6,333.3,0.0017,5
4000,12000,0.1500,0,0.5401,0.3425,0.1976,0.4639,0.7496,0.280529,-0.1150,0.1588,0,5533863.4,113.0,0.0098,9
6000,12000,0.1500,0,0.5550,0.3508,0.1881,0.4711,0.9813,0.276936,-0.0353,0.0594,0,22267439.0,95.4,0.0175,8
8000,11987,0.1498,0,0.6343,0.4132,0.2023,0.4682,0.9539,0.252222,-0.1135,0.1603,0,16975648.1,73.7,0.0302,6
10000,11999,0.1500,0,0.6114,0.4159,0.2066,0.4716,0.9763,0.228414,-0.0246,0.0462,0,23420714.3,66.6,0.0417,5
12000,12000,0.1500,0,0.5873,0.4371,0.2141,0.4531,0.9704,0.215550,-0.0275,0.0483,0,31900485.3,61.9,0.0538,5
14000,11998,0.1500,0,0.5787,0.4506,0.2093,0.4558,0.9744,0.209712,-0.0174,0.0348,0,44071773.4,61.1,0.0637,5
16000,11996,0.1499,0,0.5307,0.4876,0.2173,0.4852,0.9613,0.209570,-0.0315,0.0531,0,44315685.6,59.4,0.0748,3
18000,12000,0.1500,0,0.4976,0.5414,0.2129,0.5001,0.9596,0.203561,-0.0166,0.0305,0,44681880.9,57.3,0.0873,3
20000,11999,0.1500,0,0.4594,0.5777,0.1988,0.5293,0.9470,0.198102,-0.0156,0.0286,0,48241673.8,56.3,0.0987,3
22000,11997,0.1500,0,0.4442,0.6023,0.1914,0.5459,0.9606,0.195897,-0.0161,0.0288,0,53211835.2,56.1,0.1090,3
24000,11998,0.1500,0,0.4326,0.6247,0.2028,0.5540,0.9512,0.193212,-0.0164,0.0289,0,56073101.1,54.7,0.1219,3
26000,12000,0.1500,0,0.4349,0.6372,0.2147,0.5592,0.9683,0.191733,-0.0157,0.0287,0,62691448.7,54.4,0.1328,3
28000,11999,0.1500,0,0.4333,0.6467,0.2082,0.5644,0.9700,0.190212,-0.0095,0.0204,0,70765873.9,54.3,0.1433,3
30000,11997,0.1500,0,0.4296,0.6557,0.2043,0.5788,0.9693,0.187049,-0.0101,0.0215,0,77060013.9,54.1,0.1542,3
