tick,N,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h
2000,264,329,0.553227852713331,0.2865267641056945,0.33634796424076907,0.6257290650286025,0.9126136363636363,0.250856038608592,-0.2547777190360438,0.36587029337631677,512,65671.45903409965,1295.0,0.0004
4000,4996,4346,0.6623750815838213,0.12548716258221643,0.10206498422708182,0.7823091982889948,0.20938446757405932,0.060353675362674254,-0.251049443623246,0.36122721829071497,2311,968203.7675240458,335.6,0.0033
6000,5000,5218,0.6567342427229597,0.13175359588478944,0.11139030602320095,0.7765445765745606,0.9531171999999999,0.04141361259951066,-0.08847638239366006,0.1399157832602357,3307,5324394.218836784,216.5,0.0077
8000,4998,5320,0.6404756358235715,0.1882562997870862,0.21073031712714527,0.7282936133115776,0.9572330532212885,0.026612018843820265,-0.049984109043458326,0.08878755637479718,5649,5648581.220109029,168.4,0.0132
10000,4997,5321,0.6366351475917696,0.24514219618783914,0.2882942571703583,0.6467085909914904,0.959461116670002,0.022349547830269177,-0.06305979150224347,0.10938339371472572,7457,5817959.754022414,143.9,0.0193
12000,4994,5402,0.6352652777800882,0.3375414654842717,0.44668489336526435,0.5362050458068698,0.964992390869043,0.0176167288502603,-0.050311253082112706,0.08852449829749888,12189,4880080.128196919,129.9,0.0257
14000,5000,5165,0.6642751209227492,0.36439965838375726,0.4376464493472604,0.4696728736342946,0.9486880000000001,0.014784680843132773,-0.06069037764573436,0.08997660761604148,15721,5692032.139971782,123.1,0.0316
16000,5000,5052,0.6845564191714899,0.3875213097588701,0.42374336747520175,0.430446576510126,0.9263336,0.012552627939659248,-0.033949371150238314,0.05914513159021234,16464,8086181.825201023,121.8,0.0365
18000,5000,5027,0.6923519635221336,0.40096288975505984,0.4061095162491867,0.39881180598310983,0.9258804,0.011814851342132641,-0.024782061286476458,0.048713965613536414,16578,11324968.556831323,121.9,0.041
20000,5000,5140,0.6972993402264724,0.4012035180046422,0.38692526895689583,0.38960499133781684,0.9432804,0.011668232720337646,-0.012421713299044932,0.030850104759761587,16641,15737922.50605378,125.5,0.0442
22000,5000,5155,0.7183884251150301,0.40286093931968764,0.3585063677487647,0.3854151365450599,0.9280732,0.01111229045305863,-0.013229023677059325,0.03199065066821344,16672,19882813.3383,129.0,0.0474
24000,5000,5208,0.7455704446225324,0.4145796036567774,0.3233918067703818,0.3542736879171844,0.9230652,0.010863590437949513,-0.013531128635687808,0.03588050998686,16709,22395289.779746447,131.9,0.0505
26000,4999,5197,0.7678249201534707,0.4276854099346547,0.28632955487337525,0.3359735706271796,0.9022760552110424,0.009982388972954469,-0.019025201823980566,0.0395899795557526,16840,23856134.893323585,133.3,0.0542
28000,4999,5449,0.7834246943112181,0.41610457551392727,0.3093257217584923,0.3688825969676207,0.9205577115423086,0.009667915009287764,-0.010012495444511714,0.028987994878352023,17130,23549997.84272741,133.8,0.0581
30000,5000,5644,0.8057619903545148,0.3992862571623082,0.36057401325322014,0.4503278347426991,0.9027172,0.008616851772506488,-0.005867125527564849,0.018465078002462644,17384,18732225.160078563,132.9,0.0627
32000,5000,5807,0.8222348979369348,0.38088301349050624,0.39995011876184455,0.5142132394109651,0.9381910400000001,0.006844562029528674,-0.0043180082074208885,0.012937938337823323,18010,16328227.623809889,132.2,0.0672
