tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,264,0.0367,0,0.5532,0.2865,0.3363,0.6257,0.9126,0.278618,-0.2548,0.3659,0,65671.5,1641.0,0.0003,4
4000,3239,0.4499,0,0.6607,0.1284,0.1087,0.7764,0.5523,0.242579,-0.1938,0.2664,0,1316135.7,635.8,0.0017,7
6000,3240,0.4500,0,0.6524,0.1442,0.1456,0.7505,0.9660,0.239330,-0.0870,0.1411,0,4058429.3,486.6,0.0034,7
8000,3240,0.4500,0,0.6407,0.1763,0.2572,0.6872,0.9544,0.232644,-0.0465,0.0866,0,4148446.4,365.9,0.0061,8
10000,3239,0.4499,0,0.6342,0.2311,0.3751,0.6140,0.9457,0.230918,-0.0508,0.1075,0,3331408.4,325.4,0.0085,8
12000,3237,0.4496,0,0.6342,0.2337,0.5669,0.5372,0.9703,0.227017,-0.0375,0.0775,0,3592259.6,291.2,0.0114,8
14000,3239,0.4499,0,0.6506,0.2413,0.5810,0.5087,0.9599,0.225824,-0.0232,0.0582,0,3771967.2,276.9,0.0140,9
16000,3240,0.4500,0,0.6620,0.2771,0.6145,0.4876,0.9725,0.224851,-0.0153,0.0395,0,5551966.1,266.7,0.0167,9
18000,3239,0.4499,0,0.6671,0.2976,0.6395,0.4607,0.9745,0.224668,-0.0110,0.0343,0,7536792.5,268.7,0.0186,9
20000,3240,0.4500,0,0.6455,0.3184,0.6481,0.4497,0.9752,0.224823,-0.0082,0.0237,0,9730859.9,274.5,0.0202,8
22000,3240,0.4500,0,0.6460,0.3096,0.6298,0.4394,0.9802,0.224621,-0.0097,0.0225,0,12448317.5,283.9,0.0215,8
24000,3238,0.4497,0,0.6544,0.3033,0.6164,0.4139,0.9856,0.224919,-0.0087,0.0235,0,14178033.6,290.4,0.0230,6
26000,3240,0.4500,0,0.7030,0.3081,0.5854,0.4309,0.9823,0.224408,-0.0172,0.0353,0,13672962.0,292.5,0.0247,5
