tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,296,0.0411,423,0.5305,0.4577,0.3659,0.5928,0.8995,0.279114,-0.4502,0.5357,507,75224.1,1247.3,0.0004,5
4000,3240,0.4500,3942,0.5362,0.4665,0.2292,0.6338,0.5046,0.176900,-0.2793,0.3398,1987,1220545.0,362.4,0.0031,8
6000,3236,0.4494,3778,0.5116,0.4909,0.2486,0.6111,0.8779,0.160039,-0.0366,0.0612,2226,4811656.0,305.7,0.0055,8
8000,3240,0.4500,3156,0.4604,0.4035,0.3367,0.6051,0.9203,0.120301,-0.0421,0.0685,3530,3255459.3,223.6,0.0099,7
10000,3240,0.4500,2988,0.4355,0.3769,0.3474,0.5378,0.9267,0.110922,-0.0333,0.0545,3945,4859688.3,218.9,0.0127,7
12000,3240,0.4500,3149,0.4223,0.3562,0.3368,0.3453,0.8993,0.093418,-0.0509,0.0849,5117,4481859.2,200.7,0.0166,7
14000,3240,0.4500,3233,0.4253,0.3364,0.3002,0.2851,0.8868,0.079584,-0.0123,0.0331,5456,6625656.5,203.6,0.0191,5
16000,3240,0.4500,3261,0.4237,0.3279,0.2840,0.2788,0.8858,0.077489,-0.0047,0.0241,5512,10026345.0,215.7,0.0206,4
18000,3239,0.4499,3245,0.4239,0.3238,0.2738,0.2768,0.8777,0.074992,-0.0038,0.0216,5542,13585043.9,228.5,0.0219,3
20000,3240,0.4500,3306,0.4310,0.2997,0.2325,0.2690,0.8726,0.069733,-0.0015,0.0209,5564,15709506.0,237.1,0.0234,3
22000,3240,0.4500,3318,0.4462,0.2915,0.2040,0.2506,0.8577,0.062872,-0.0024,0.0236,5566,16837915.5,242.3,0.0252,3
24000,3240,0.4500,3437,0.4765,0.2916,0.2076,0.2219,0.8168,0.055706,-0.0114,0.0331,5674,17141072.6,241.4,0.0276,3
26000,3240,0.4500,3641,0.4964,0.3295,0.2875,0.2584,0.8077,0.044624,-0.0068,0.0282,6029,16702049.8,236.6,0.0305,3
28000,3240,0.4500,3735,0.4857,0.3487,0.2793,0.2590,0.7991,0.038434,-0.0022,0.0200,6065,17232194.8,236.8,0.0328,3
30000,3240,0.4500,3688,0.4821,0.3563,0.2781,0.2583,0.8033,0.034090,-0.0017,0.0204,6080,17648482.6,237.9,0.0350,3
32000,3240,0.4500,3635,0.4766,0.3671,0.2799,0.2604,0.7862,0.030096,-0.0006,0.0181,6090,18789792.4,238.8,0.0372,3
34000,3240,0.4500,3648,0.4760,0.3686,0.2795,0.2591,0.8118,0.028667,-0.0002,0.0166,6093,22116855.0,242.6,0.0389,3
36000,3239,0.4499,3683,0.4734,0.3739,0.2800,0.2581,0.7752,0.027763,-0.0007,0.0157,6094,25744087.7,247.8,0.0404,3
38000,3239,0.4499,3655,0.4723,0.3751,0.2789,0.2570,0.7971,0.026170,-0.0004,0.0172,6097,28127972.7,251.1,0.0420,3
40000,3240,0.4500,3574,0.4665,0.3651,0.2652,0.2532,0.7840,0.020561,0.0000,0.0175,6100,29134020.9,252.5,0.0440,3
42000,3240,0.4500,3621,0.4710,0.3582,0.2529,0.2508,0.7902,0.017796,-0.0012,0.0184,6110,30300623.1,253.9,0.0459,4
44000,3240,0.4500,3697,0.4485,0.3866,0.3046,0.2638,0.7881,0.014625,-0.0003,0.0192,6186,28718851.6,253.8,0.0482,4
46000,3240,0.4500,3677,0.4282,0.4148,0.3499,0.2851,0.7889,0.011650,0.0003,0.0171,6204,26530178.5,252.6,0.0506,4
48000,3240,0.4500,3670,0.4244,0.4209,0.3523,0.2890,0.7721,0.009646,-0.0004,0.0175,6204,26719730.3,253.4,0.0526,4
50000,3240,0.4500,3689,0.4190,0.4284,0.3551,0.2940,0.7659,0.007634,-0.0016,0.0170,6208,25980467.9,253.2,0.0549,4
52000,3240,0.4500,3718,0.4150,0.4352,0.3574,0.2983,0.7749,0.006434,0.0004,0.0141,6212,28348644.8,320.9,0.0566,4
54000,3240,0.4500,3582,0.4099,0.4436,0.3603,0.3038,0.7657,0.006185,-0.0000,0.0138,6213,31585998.4,334.9,0.0582,4
56000,3239,0.4499,3614,0.4055,0.4517,0.3634,0.3091,0.7453,0.005662,-0.0003,0.0165,6228,33505394.7,324.5,0.0600,4
58000,3240,0.4500,3567,0.4055,0.4517,0.3628,0.3083,0.7366,0.005767,-0.0003,0.0187,6239,33001441.2,306.9,0.0621,4
60000,3240,0.4500,3573,0.4021,0.4574,0.3627,0.3127,0.7408,0.003796,-0.0015,0.0170,6243,31197729.9,288.3,0.0645,4
62000,3239,0.4499,3518,0.4061,0.4576,0.3751,0.3160,0.7218,0.004005,-0.0008,0.0157,6286,31701843.4,283.3,0.0667,5
64000,3240,0.4500,3563,0.4078,0.4560,0.3788,0.3168,0.7423,0.004204,-0.0007,0.0174,6297,30486939.9,268.8,0.0694,5
66000,3240,0.4500,3553,0.4054,0.4654,0.3916,0.3247,0.7518,0.002409,-0.0003,0.0145,6301,29907465.9,263.4,0.0718,5
68000,3240,0.4500,3603,0.4143,0.4528,0.3866,0.3151,0.7549,0.003139,-0.0002,0.0157,6304,29274430.6,258.5,0.0742,5
70000,3239,0.4499,3633,0.4198,0.4434,0.3835,0.3093,0.7546,0.002182,-0.0005,0.0153,6305,31145963.0,259.5,0.0763,5
72000,3240,0.4500,3634,0.4219,0.4401,0.3822,0.3072,0.7612,0.001831,-0.0001,0.0129,6306,34588231.5,265.4,0.0779,5
74000,3240,0.4500,3660,0.4189,0.4450,0.3839,0.3104,0.7708,0.002051,-0.0004,0.0140,6307,37894693.1,271.1,0.0795,5
76000,3240,0.4500,3639,0.4252,0.4346,0.3803,0.3037,0.7933,0.003430,-0.0003,0.0156,6309,40135292.3,272.4,0.0814,5
78000,3239,0.4499,3672,0.4302,0.4264,0.3781,0.2989,0.7826,0.002193,0.0008,0.0162,6319,39856361.3,269.9,0.0837,5
80000,3240,0.4500,3688,0.4345,0.4203,0.3770,0.2952,0.7929,0.002229,0.0002,0.0153,6325,41612288.6,272.0,0.0855,6
82000,3240,0.4500,3637,0.4412,0.4168,0.3832,0.2973,0.8198,0.001833,0.0008,0.0157,6331,40362393.5,270.2,0.0878,6
84000,3240,0.4500,3650,0.4433,0.4153,0.3883,0.2982,0.8024,0.001841,-0.0002,0.0148,6336,36860229.7,267.0,0.0903,6
86000,3240,0.4500,3711,0.4458,0.4107,0.3868,0.2955,0.7782,0.002167,-0.0006,0.0155,6339,38085099.5,268.0,0.0922,6
88000,3240,0.4500,3735,0.4462,0.4107,0.3865,0.2948,0.7999,0.001855,0.0003,0.0153,6339,37917334.4,267.2,0.0944,6
90000,3240,0.4500,3722,0.4470,0.4098,0.3862,0.2942,0.8114,0.002031,0.0004,0.0140,6339,40223322.4,269.7,0.0961,6
92000,3240,0.4500,3735,0.4480,0.4080,0.3856,0.2930,0.7925,0.002605,-0.0002,0.0137,6340,44019536.8,274.1,0.0975,6
94000,3240,0.4500,3773,0.4492,0.4066,0.3849,0.2923,0.7938,0.002030,0.0001,0.0142,6340,47173959.1,277.6,0.0989,6
96000,3239,0.4499,3748,0.4486,0.4078,0.3854,0.2931,0.8271,0.003243,-0.0001,0.0167,6341,47840811.6,278.2,0.1008,6
98000,3240,0.4500,3770,0.4486,0.4078,0.3850,0.2929,0.8058,0.002616,-0.0011,0.0152,6341,47241855.2,277.6,0.1029,6
100000,3240,0.4500,3752,0.4492,0.4068,0.3841,0.2923,0.8146,0.004580,-0.0005,0.0164,6341,48476529.5,278.5,0.1048,7
102000,3240,0.4500,3760,0.4502,0.4056,0.3832,0.2921,0.8186,0.003425,-0.0006,0.0184,6343,44499917.2,232.0,0.1072,7
104000,3240,0.4500,3737,0.4502,0.4052,0.3833,0.2925,0.8371,0.002035,0.0002,0.0156,6344,42734467.8,244.7,0.1093,7
106000,3239,0.4499,3777,0.4497,0.4062,0.3837,0.2930,0.8032,0.002452,-0.0012,0.0174,6344,42033316.3,247.8,0.1115,7
108000,3240,0.4500,3727,0.4497,0.4064,0.3837,0.2931,0.8091,0.001919,-0.0001,0.0153,6344,42851617.4,256.8,0.1135,7
110000,3240,0.4500,3748,0.4505,0.4050,0.3832,0.2922,0.8255,0.000986,-0.0002,0.0154,6347,45882675.0,272.3,0.1150,7
112000,3240,0.4500,3694,0.4506,0.4049,0.3831,0.2921,0.8114,0.000677,-0.0003,0.0136,6347,49619140.4,289.1,0.1163,7
114000,3240,0.4500,3794,0.4504,0.4052,0.3833,0.2925,0.8443,0.001467,-0.0003,0.0158,6347,51864259.7,296.7,0.1179,7
