tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,178,0.0247,350,0.5000,0.5000,0.5000,0.5000,0.9945,0.305169,-0.0544,0.0823,697,30294.3,1813.2,0.0003,1
4000,165,0.0229,329,0.5000,0.5000,0.5000,0.5000,1.0000,0.306602,-0.0201,0.0281,1108,37463.7,1754.9,0.0006,2
6000,160,0.0222,315,0.5000,0.5000,0.5000,0.5000,1.0000,0.309915,-0.0071,0.0144,1513,41361.9,1716.3,0.0010,3
8000,154,0.0214,306,0.5000,0.5000,0.5000,0.5000,1.0000,0.312650,-0.0068,0.0091,1912,44338.2,1729.8,0.0013,4
10000,165,0.0229,288,0.5000,0.5000,0.5000,0.5000,0.9912,0.318031,-0.1500,0.1975,2397,38147.9,1696.1,0.0016,6
12000,146,0.0203,259,0.5000,0.5000,0.5000,0.5000,0.9973,0.320707,-0.0578,0.1079,2880,31969.6,1677.7,0.0020,7
14000,124,0.0172,242,0.5000,0.5000,0.5000,0.5000,0.9996,0.326272,-0.0027,0.0289,3288,29630.9,1693.9,0.0023,8
16000,125,0.0174,234,0.5000,0.5000,0.5000,0.5000,1.0000,0.326661,-0.0307,0.0500,3630,30685.1,1684.3,0.0026,9
18000,111,0.0154,217,0.5000,0.5000,0.5000,0.5000,0.9995,0.329861,-0.0188,0.0290,3933,31958.0,1695.6,0.0029,11
20000,119,0.0165,217,0.5000,0.5000,0.5000,0.5000,0.9975,0.334401,-0.0631,0.1191,4273,29695.2,1713.6,0.0032,12
22000,108,0.0150,205,0.5000,0.5000,0.5000,0.5000,0.9991,0.332209,-0.0084,0.0370,4606,27656.3,1732.4,0.0035,13
24000,108,0.0150,197,0.5000,0.5000,0.5000,0.5000,0.9981,0.341501,-0.0352,0.0599,4919,26197.1,1724.3,0.0039,14
26000,99,0.0138,188,0.5000,0.5000,0.5000,0.5000,0.9990,0.343933,-0.0279,0.0482,5182,26279.1,1738.5,0.0042,15
28000,96,0.0133,182,0.5000,0.5000,0.5000,0.5000,0.9990,0.344407,-0.0431,0.0682,5470,25596.8,1732.5,0.0045,17
30000,102,0.0142,178,0.5000,0.5000,0.5000,0.5000,0.9995,0.350404,-0.0940,0.1416,5731,24679.2,1733.0,0.0048,18
32000,93,0.0129,169,0.5000,0.5000,0.5000,0.5000,0.9930,0.348696,-0.0130,0.0477,6017,22852.3,1744.5,0.0051,19
34000,92,0.0128,165,0.5000,0.5000,0.5000,0.5000,0.9946,0.348022,-0.0306,0.0717,6282,22103.3,1749.0,0.0054,20
36000,84,0.0117,160,0.5000,0.5000,0.5000,0.5000,0.9905,0.350227,-0.0303,0.0647,6510,21750.8,1763.5,0.0057,21
38000,80,0.0111,146,0.5000,0.5000,0.5000,0.5000,1.0000,0.358135,-0.0081,0.0306,6740,21271.6,1764.8,0.0060,23
40000,82,0.0114,141,0.5000,0.5000,0.5000,0.5000,0.9994,0.360619,-0.0276,0.0796,7000,19418.7,1769.3,0.0063,24
42000,68,0.0094,132,0.5000,0.5000,0.5000,0.5000,1.0000,0.361328,-0.0004,0.0172,7222,17909.3,1777.3,0.0066,25
