tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,418,0.0581,514,0.6466,0.5354,0.3311,0.4531,0.8902,0.272004,-0.3903,0.4736,490,88536.1,1602.6,0.0003,4
4000,3240,0.4500,3377,0.6986,0.5059,0.1974,0.4811,0.7325,0.228528,-0.4142,0.4637,1814,1683228.1,595.4,0.0019,6
6000,3236,0.4494,3883,0.5638,0.5218,0.2639,0.5487,0.5524,0.184565,-0.0802,0.1226,2392,3483997.2,453.2,0.0037,6
8000,3239,0.4499,4200,0.4909,0.5693,0.3347,0.5291,0.9153,0.141228,-0.0229,0.0394,3582,4796876.8,344.9,0.0064,7
10000,3240,0.4500,3497,0.4439,0.4487,0.4258,0.5504,0.9125,0.126219,-0.0716,0.1113,4472,4487314.1,313.3,0.0089,7
12000,3239,0.4499,3338,0.3912,0.4655,0.4339,0.5576,0.9044,0.111957,-0.0283,0.0525,6015,4841473.2,291.1,0.0114,7
14000,3240,0.4500,3211,0.3738,0.4663,0.4151,0.5603,0.9034,0.107988,-0.0116,0.0297,6122,8029605.2,303.7,0.0128,7
16000,3240,0.4500,3224,0.3565,0.4760,0.3912,0.5703,0.8892,0.105745,-0.0124,0.0279,6179,11044959.2,317.0,0.0140,5
18000,3240,0.4500,3121,0.3407,0.4835,0.3613,0.5791,0.8853,0.102285,-0.0115,0.0291,6239,13016193.5,322.8,0.0155,5
20000,3240,0.4500,3092,0.3399,0.4965,0.3672,0.5606,0.8809,0.097453,-0.0149,0.0306,6452,14279845.9,325.8,0.0171,3
22000,3240,0.4500,3001,0.3343,0.5212,0.3718,0.5520,0.9048,0.090030,-0.0135,0.0287,6888,12547372.3,323.4,0.0189,3
24000,3240,0.4500,2956,0.3552,0.5426,0.3751,0.5843,0.9035,0.079157,-0.0086,0.0203,7323,11742915.0,317.8,0.0210,3
26000,3240,0.4500,2827,0.3375,0.5434,0.3440,0.6025,0.8848,0.070431,-0.0236,0.0351,7403,10954315.1,314.8,0.0229,4
